threshold,f1,precision,recall,recall_class0
0.1,0.5472956965494279,0.816400304414003,0.5422327754780709,0.08875739644970414
0.11,0.5503763018788925,0.7749363867684478,0.5439038017116591,0.09467455621301775
0.12000000000000001,0.5675850891410049,0.7654048968880747,0.5544505675902176,0.11834319526627218
0.13,0.5661631856616318,0.7457666596790348,0.5535921984915052,0.11834319526627218
0.14,0.5672217010631645,0.712087912087912,0.5544048556263809,0.1242603550295858
0.15000000000000002,0.5768533623346022,0.6989865926036138,0.5611346725245702,0.14201183431952663
0.16,0.5761233541468074,0.6936236391912909,0.5607054879752139,0.14201183431952663
0.17,0.5789141414141414,0.6889795668852108,0.5628056987581583,0.14792899408284024
0.18,0.5816226030977468,0.6848813657407408,0.5649059095411026,0.15384615384615385
0.19,0.5875611159045153,0.6819940179461615,0.5695355156563476,0.16568047337278108
0.2,0.5987274220032841,0.691743783797285,0.5779820707519618,0.1834319526627219
0.21000000000000002,0.6010284125193484,0.688402160405315,0.5800822815349062,0.1893491124260355
0.22,0.6032645156828164,0.6853754940711463,0.5821824923178505,0.1952662721893491
0.23,0.6062465678198792,0.6859924391957445,0.5847118876501511,0.20118343195266272
0.24000000000000002,0.6185301687160423,0.6914400620610812,0.5952586535287097,0.22485207100591717
0.25,0.6212813220637823,0.6919158692185008,0.5977880488610102,0.23076923076923078
0.26,0.6170892888596051,0.6773701313992371,0.5956421261142292,0.23076923076923078
0.27,0.6224002058605937,0.6789314561617256,0.6007009167788303,0.24260355029585798
0.28,0.6241517795319208,0.677133655394525,0.6028011275617746,0.2485207100591716
0.29000000000000004,0.6308271144278607,0.6770702981229297,0.6099601290093202,0.26627218934911245
0.30000000000000004,0.6356488755769419,0.6786021310324702,0.6150189196739213,0.2781065088757396
0.31,0.6403288740245262,0.6800722071155999,0.6200777103385224,0.28994082840236685
0.32,0.6519552081485269,0.6891439677343932,0.6314828453157935,0.3136094674556213
0.33,0.6523356229432162,0.6855500821018062,0.6331538715493816,0.31952662721893493
0.33999999999999997,0.6544683740471532,0.6861758474576272,0.6356832668816822,0.3254437869822485
0.35,0.653577264239029,0.6841788567278764,0.635254082332326,0.3254437869822485
0.36,0.6547873593877176,0.6828910350051398,0.6373542931152704,0.33136094674556216
0.37,0.6550829601377074,0.6798328602964364,0.6390253193488584,0.33727810650887574
0.38,0.652456602384391,0.6744572035124964,0.6377377657007898,0.33727810650887574
0.39,0.6602139582272033,0.6801850588169007,0.646184320796404,0.35502958579881655
0.4,0.6575761570107463,0.6750957478149857,0.6448967671483353,0.35502958579881655
0.41000000000000003,0.6603963628917556,0.6775149552713902,0.6478553470299921,0.3609467455621302
0.42000000000000004,0.6650958732719557,0.6806113902847571,0.6533433222439495,0.3727810650887574
0.43000000000000005,0.664314434300743,0.6765349032800673,0.6545851639281814,0.378698224852071
0.44000000000000006,0.6679727017262144,0.6780165944552998,0.6596439545927826,0.3905325443786982
0.45000000000000007,0.674176662023804,0.6816530926700418,0.6676613251390405,0.40828402366863903
0.45999999999999996,0.6740650535778692,0.6773269287489992,0.6710033776062169,0.42011834319526625
0.47,0.6765243404394348,0.6774317688530394,0.6756329837214617,0.4319526627218935
0.48,0.6797806751566606,0.6788855199046627,0.6806917743860629,0.4437869822485207
0.49,0.684733473121037,0.6829223362359537,0.6866089341493765,0.4556213017751479
0.5,0.6862966817435856,0.6835991618390238,0.6891383294816771,0.46153846153846156
0.51,0.6842992727720942,0.67920342321017,0.6899509866165529,0.46745562130177515
0.52,0.6823315578710003,0.6751068819380015,0.6907636437514285,0.47337278106508873
